state,x,y
ANDHRA PRADESH, -78.0, -150.0
ARUNACHAL PRADESH, 226.0, 161.0
ASSAM, 199.0, 117.0
BIHAR, 61.0, 90.0
CHHATTISGARH, -18.0, -8.0
GOA, -177.0, -138.0
GUJARAT, -230.0, 37.0
HARYANA, -126.0, 168.0
HIMACHAL PRADESH, -109.0, 228.0
JAMMU & KASHMIR, -155.0, 270.0
JHARKHAND, 51.0, 41.0
KARNATAKA, -147.0, -152.0
KERALA, -130.0, -241.0
MADHYA PRADESH, -99.0, 37.0
MAHARASHTRA, -143.0, -46.0
MANIPUR, 230.0, 90.0
MEGHALAYA, 178.0, 93.0
MIZORAM, 211.0, 46.0
NAGALAND, 239.0, 113.0
ODISHA, 36.0, -19.0
PUNJAB, -145.0, 207.0
RAJASTHAN, -180.0, 117.0
SIKKIM, 118.0, 136.0
TAMIL NADU, -94.0, -250.0
TELANGANA, -76.0, -87.0
TRIPURA, 187.0, 58.0
LADAKH, -113.0, 292.0
UTTAR PRADESH, -42.0, 124.0
UTTARAKHAND, -67.0, 193.0
